cell_type,rank,gene,attn_score,gene_type
B cells,1,ABCC5,90.06358337402344,protein coding
B cells,2,NSUN3,79.42631530761719,protein coding
B cells,3,ECT2,77.26459503173828,protein coding
B cells,4,ZNF654,68.73533630371094,protein coding
B cells,5,CPA3,64.59138488769531,protein coding
B cells,6,LRCH3,64.52278137207031,protein coding
B cells,7,CGGBP1,62.321067810058594,protein coding
B cells,8,PPP4R2,62.080753326416016,protein coding
B cells,9,DBR1,56.9876708984375,protein coding
B cells,10,DNAJC13,54.00666427612305,protein coding
B cells,11,SS18L2,53.493279139200844,protein coding
B cells,12,IGF2BP2,49.52608871459961,protein coding
B cells,13,EAF2,48.177066802978516,protein coding
B cells,14,BDH1,47.58818054199219,protein coding
B cells,15,EIF5A2,39.03792953491211,protein coding
B cells,16,PSMD6,38.148868560791016,protein coding
B cells,17,SIAH2,38.10897445678711,protein coding
B cells,18,ZNF35,38.01036389668783,protein coding
B cells,19,CSTA,37.26316833496094,protein coding
B cells,20,RAD54L2,36.39956537882487,protein coding
B cells,21,STK25,36.08703740437826,protein coding
B cells,22,POLR2H,35.498321533203125,protein coding
B cells,23,PCNP,35.1569938659668,protein coding
B cells,24,INPP1,34.74969466527303,protein coding
B cells,25,TOP2B,34.246556878089905,protein coding
B cells,26,NEK4,33.84438133239746,protein coding
B cells,27,EIF2B5,33.02067947387695,protein coding
B cells,28,GSK3B,32.18024444580078,protein coding
B cells,29,CYB561D2,31.862332979838055,protein coding
B cells,30,VIPR1,31.47366205851237,protein coding
B cells,31,CRBN,30.869850158691406,protein coding
B cells,32,PSMD2,30.18866539001465,protein coding
B cells,33,IFT57,29.185588836669922,protein coding
B cells,34,ZNF141,27.76041603088379,protein coding
B cells,35,IMPDH2,27.47200886408488,protein coding
B cells,36,WNT7A,27.37244160970052,protein coding
B cells,37,TACC3,27.363161087036133,protein coding
B cells,38,MYNN,27.266826629638672,protein coding
B cells,39,PCBP4,27.04813512166341,protein coding
B cells,40,CACNA2D3,27.001577377319336,protein coding
B cells,41,GBE1,26.95443344116211,protein coding
B cells,42,CX3CR1,26.911651293436687,protein coding
B cells,43,AGPS,26.41884191830953,protein coding
B cells,44,BAP1,26.149599075317383,protein coding
B cells,45,PFN2,25.389829635620117,protein coding
B cells,46,ATP1B3,25.234071731567383,protein coding
B cells,47,GTF3C3,24.817325115203857,protein coding
B cells,48,CD96,24.599443435668945,protein coding
B cells,49,TOPBP1,23.048799514770508,protein coding
B cells,50,TRAT1,22.528118133544922,protein coding
B cells,51,PIGG,22.410057067871094,protein coding
B cells,52,LXN,22.160938262939453,protein coding
B cells,53,SLC35F5,21.666092342800564,protein coding
B cells,54,NISCH,21.535197257995605,protein coding
B cells,55,GPR35,20.92933201789856,protein coding
B cells,56,IL18RAP,20.42234006192949,protein coding
B cells,57,PSMD14,19.939889362880162,protein coding
B cells,58,RBM15B,19.687085151672363,protein coding
B cells,59,CTDSP1,19.24016046524048,protein coding
B cells,60,PMS1,18.796425382296245,protein coding
B cells,61,NCL,18.13188600540161,protein coding
B cells,62,UQCRC1,18.0997953414917,protein coding
B cells,63,SSR3,17.60567855834961,protein coding
B cells,64,CNBP,17.172115325927734,protein coding
B cells,65,ARL8B,16.369847615559895,protein coding
B cells,66,STK16,16.067640900611877,protein coding
B cells,67,AUP1,15.892652389407157,protein coding
B cells,68,SCAP,15.872112274169922,protein coding
B cells,69,FAIM,15.592119216918945,protein coding
B cells,70,PARP3,15.406465530395508,protein coding
B cells,71,APEH,15.155242284138998,protein coding
B cells,72,VRK2,15.08412410204227,protein coding
B cells,73,USP19,14.9396603902181,protein coding
B cells,74,NT5DC2,14.285669326782227,protein coding
B cells,75,GCA,14.264846120561872,protein coding
B cells,76,OXSR1,13.957109769185385,protein coding
B cells,77,CRELD1,13.712711691856384,protein coding
B cells,78,FYCO1,13.649348139762878,protein coding
B cells,79,DUSP11,13.497903542859214,protein coding
B cells,80,PODXL2,13.364672660827637,protein coding
B cells,81,RAF1,13.054412841796875,protein coding
B cells,82,GORASP1,12.76800545056661,protein coding
B cells,83,SIDT1,12.674262046813965,protein coding
B cells,84,LY75,12.64376449584961,protein coding
B cells,85,FARP2,12.393958330154419,protein coding
B cells,86,ST3GAL5,12.367151470745311,protein coding
B cells,87,ZNF197,12.337732950846354,protein coding
B cells,88,CCDC71,11.752946774164835,protein coding
B cells,89,CCL20,11.75240969657898,protein coding
B cells,90,INSIG2,11.531313940882683,protein coding
B cells,91,METTL8,11.48663718359811,protein coding
B cells,92,DGKD,11.355913758277893,protein coding
B cells,93,EPM2AIP1,11.343546549479166,protein coding
B cells,94,DYNC1LI1,11.316710472106934,protein coding
B cells,95,TMEM131,10.862434723160483,protein coding
B cells,96,MRPS22,10.818788528442383,protein coding
B cells,97,SLC4A10,10.804106593132019,protein coding
B cells,98,BAZ2B,10.786458935056414,protein coding
B cells,99,GCC2,10.742205831739637,protein coding
B cells,100,CLASP1,10.660414576530457,protein coding
CD4 T cells,1,SH3TC2,86.03944396972656,protein coding
CD4 T cells,2,PTCD2,79.39945602416992,protein coding
CD4 T cells,3,NSD1,77.26502990722656,protein coding
CD4 T cells,4,SLC25A46,73.38004493713379,protein coding
CD4 T cells,5,C5orf15,65.35369873046875,protein coding
CD4 T cells,6,ADRB2,65.04019165039062,protein coding
CD4 T cells,7,C6orf47,64.5223388671875,protein coding
CD4 T cells,8,FAM53C,56.9884033203125,protein coding
CD4 T cells,9,TTC1,53.03355026245117,protein coding
CD4 T cells,10,ANKRA2,52.062217712402344,protein coding
CD4 T cells,11,THG1L,48.86526870727539,protein coding
CD4 T cells,12,LTB,47.58803939819336,protein coding
CD4 T cells,13,TRIM26,45.56117630004883,protein coding
CD4 T cells,14,LTA,44.717796325683594,protein coding
CD4 T cells,15,MYLIP,44.66328430175781,protein coding
CD4 T cells,16,MICB,40.97927474975586,protein coding
CD4 T cells,17,HK3,39.03838348388672,protein coding
CD4 T cells,18,CSF1R,38.10887145996094,protein coding
CD4 T cells,19,ZNF184,35.498836517333984,protein coding
CD4 T cells,20,PSMB9,34.79289627075195,protein coding
CD4 T cells,21,MGAT4B,33.3479118347168,protein coding
CD4 T cells,22,RIPK1,33.020931243896484,protein coding
CD4 T cells,23,ATOX1,30.221466064453125,protein coding
CD4 T cells,24,NUP153,30.188922882080078,protein coding
CD4 T cells,25,CD83,30.185606002807617,protein coding
CD4 T cells,26,PFDN1,30.090919494628906,protein coding
CD4 T cells,27,MRPS27,29.0558922290802,protein coding
CD4 T cells,28,MTMR12,28.869709968566895,protein coding
CD4 T cells,29,ST8SIA4,28.619468688964844,protein coding
CD4 T cells,30,CBR4,27.943597316741943,protein coding
CD4 T cells,31,CLIC1,27.760786056518555,protein coding
CD4 T cells,32,HEXB,27.719401359558105,protein coding
CD4 T cells,33,CCNL1,27.65901010686701,protein coding
CD4 T cells,34,TMEM165,27.516199384416854,protein coding
CD4 T cells,35,TAP1,27.36292266845703,protein coding
CD4 T cells,36,UIMC1,27.169397354125977,protein coding
CD4 T cells,37,EREG,26.576890683174135,protein coding
CD4 T cells,38,PLK2,26.442360877990723,protein coding
CD4 T cells,39,SERINC5,26.356759071350098,protein coding
CD4 T cells,40,RBM22,26.333398818969727,protein coding
CD4 T cells,41,SLC26A2,25.390207290649414,protein coding
CD4 T cells,42,TCERG1,25.234386444091797,protein coding
CD4 T cells,43,SLC30A9,23.816280603408813,protein coding
CD4 T cells,44,DUSP22,23.791391372680664,protein coding
CD4 T cells,45,SENP2,23.23320370912552,protein coding
CD4 T cells,46,MED28,23.133919894695282,protein coding
CD4 T cells,47,IRF2,23.06535631418228,protein coding
CD4 T cells,48,SEC61A1,22.568614951201848,protein coding
CD4 T cells,49,DOCK2,22.16120147705078,protein coding
